Name,w,w1,v,mvc,v/mvc,l1,l1w,l2,l2w,linf,linfw,R,R^2,BLACK%,HISP%,TotPop
New YorkNY,0.1762042389210019,6.728472756800135,5.064414303063704,1.0498443311216545,4.8239668996001335,629.1610361425999,0.26738675569171266,17.030753485703848,0.00723788928419203,1.0,0.00042498937526561835,-0.052585183185689846,0.0027652014906725583,22.16366789330785,28.195778603746767,8934153.0
Los AngelesCA,0.4047497145032356,7.968404304599623,3.9621556147388923,1.1719054810494676,3.3809515176861304,470.6811507153036,0.37444801170668546,16.40186964243601,0.013048424536544163,0.9714534757027675,0.0007728349050936894,-0.0030749670397490127,9.455422295542807e-06,9.045144681849411,44.82816646400749,4522371.0
ChicagoIL,0.2612288045820822,2.419839618342151,2.433320921840821,0.5150315429877487,4.72460561876441,389.1466461329974,0.45781958368587927,16.623194007716986,0.01955669883260822,0.9752487260373696,0.0011473514423969054,-0.49318761453757576,0.24323402313326442,27.46935885314659,29.93497168271379,3016532.0
HoustonTX,0.26029244615588465,6.219022731019685,3.6443689698692707,0.913788107975125,3.988199165717833,296.8514427774891,0.3121466275262767,12.503575647533339,0.013147818767122333,0.9577795152462861,0.0010071288278089233,-0.21839652626803396,0.04769704268594405,20.511568197287115,42.3450070989115,3896372.0
PhiladelphiaPA,0.38914373088685017,2.2081204860807495,1.2935655082454354,0.555803790525632,2.327377988951984,148.57816997953503,0.3331349102680158,9.962172056092054,0.02233670864594631,1.0,0.002242152466367713,-0.19801862613823482,0.03921137629767401,38.48361148750632,14.120665118717698,1762332.0
PhoenixAZ,0.596110924643394,3.7243524105118637,1.2389312861856203,0.5162498969954095,2.39986737701303,132.32471068380997,0.31581076535515507,8.238029116040982,0.019661167341386593,0.9059654844408208,0.002162208793414847,0.2795864862348656,0.07816860328515869,7.521771038273307,39.61732269764578,1793208.0
San AntonioTX,0.4480022409044405,1.699795142540328,0.7031385709248585,0.3274647639652029,2.1472190241499556,196.8921377500279,0.5484460661560666,11.360014259613505,0.0316434937593691,1.0,0.002785515320334262,-0.28598612835005954,0.08178806560865673,7.933187376649409,59.90907467616624,1909699.0
San DiegoCA,0.4856881344649692,2.937889904043603,1.0371715874152752,0.585727757713652,1.770740030255358,91.38393853729184,0.23922496999291057,6.284498994333859,0.016451568047994396,0.9657180895323682,0.0025280578260009636,0.33324728194020725,0.11105375092053599,5.7593852514703885,30.436251625676963,1648544.0
DallasTX,0.29256783084008714,3.843986792849618,2.2932280789814903,0.7341713870467959,3.123559593089019,121.88545508864122,0.2708565668636472,8.035363119065481,0.01785636248681218,0.975,0.0021666666666666666,-0.11026816531600805,0.012159068282158481,21.419853208725396,39.172391444146484,1783621.0
HonoluluHI,0.13969890943575153,1.3006598052499398,0.17887246195946124,0.11880695224602943,1.505572347222965,23.682474343154897,0.0722026656803503,1.5909784912388707,0.004850544180606313,0.6666666666666666,0.002032520325203252,0.6564119342126749,0.43087662737682497,2.038646031315051,9.08226988867771,1016508.0
San JoseCA,0.3809369602763385,2.23197154023882,0.8762978611392155,0.33818427317690924,2.5911845424012694,69.59527680852239,0.2687076324653374,5.256853200620201,0.0202967305043251,0.7471934369602763,0.0028849167450203717,0.27561657866933537,0.07596449843738994,2.6821302480992526,28.718843293752467,1247404.0
JacksonvilleFL,0.46783749471011427,1.6187611588524307,0.5717910280671246,0.3130133621029446,1.8267304124833894,48.18727019687181,0.21705977566158471,5.100582717263392,0.022975597825510775,0.9149386373254338,0.004121345213177629,-0.3243221760019748,0.10518487384665594,28.241411522476838,11.14757692454341,1049080.0
IndianapolisIN,0.21985152188113188,1.348149242317851,0.6753004242704209,0.24743139832173439,2.7292430501982192,49.90599373581213,0.18415495843473112,4.409612466448662,0.016271632717522737,1.0,0.0036900369003690036,0.16900732931656448,0.028563477362717676,24.522097584264984,12.014002287733039,1116389.0
San FranciscoCA,0.1243211141191678,0.9315829169342813,0.3604820043154544,0.10548513320031516,3.417372603880614,27.224473741425463,0.11112030098541005,2.2685065629973877,0.009259210461213828,0.4895906432748538,0.001998329156223893,0.26772027637756407,0.07167414638367929,5.280121828232075,15.627660219623241,890434.0
AustinTX,0.4285564115802937,2.119710662685371,0.7522336433631912,0.35146659004210923,2.1402706962077565,67.2143382539159,0.2444157754687851,5.075423583184042,0.01845608575703288,0.7922555115884681,0.002880929133048975,0.3849945589492546,0.1482208104205311,7.278586036345519,31.89686968889746,1244445.0
ColumbusOH,0.42467948717948717,2.0803785889845865,0.7530878621166514,0.3630023868514698,2.0746085684136104,61.65980762900254,0.20216330370164767,5.22102021233336,0.017118099056830687,0.8087606837606838,0.0026516743729858485,0.1961136360565446,0.03846055824731883,23.713658646908737,7.040435379523656,1255732.0
Fort WorthTX,0.40318575159159575,2.5580441772990565,1.088506283595466,0.6076136505902964,1.791444748711591,61.29478518456694,0.23043152325025165,5.28722198123288,0.019876774365537142,0.9377577802774653,0.003525405189013027,-0.10042513572954195,0.010085207886296924,17.196197687679515,32.93360797492792,1253027.0
CharlotteNC,0.1544656474351821,1.6475943043761525,0.908465943546458,0.2860163996627387,3.1762722159208066,52.8693427297901,0.19155558960068877,4.467671592124742,0.016187215913495444,0.771342484097757,0.0027947191452817283,0.22425816505592502,0.05029172459425051,31.648567060022735,15.818598816011292,1020280.0
DetroitMI,0.33297189905299673,1.4128219281868883,0.8981150268273326,0.2961975499893256,3.032148736070568,232.5494543227142,0.704695316129437,13.866470210674011,0.042019606699012155,0.9580663948747815,0.00290323149962055,-0.5343184181664598,0.28549617199190774,68.48576301367537,7.25325751271831,824402.0
