[StateFP][ElectionYear],State,StateFP,Election_Year,w,w1,v,mvc,l1,l1w,l2,l2w,linf,linfw,r,r^2,BVAP%,Dem%,REP%,Votes,VAP,Winner
482000,Texas,48,2000,0.4307312084462678,2.592205854727238,0.014176227787021326,0.3259309984340646,67.11746140128795,0.2642419740208187,4.714893509734182,0.01856257287296922,0.7739619496948656,0.0030470942901372664,0.17360897559617328,0.030140076407552688,13.029442650586716,37.981958091571045,59.298599468103454,6407637,18578830,Republican
482004,Texas,48,2004,0.3854059821261895,2.548228363540355,0.013506388553683215,0.32143956844546084,58.59579112101172,0.2306920910276052,4.189190347808076,0.016492875385071163,0.7435890015389727,0.0029275157540904436,0.2281783609176096,0.052065364391046906,13.029442650586716,38.22426046274135,61.08582276906154,7410749,18578830,Republican
482008,Texas,48,2008,0.4824661419823064,2.702159955910626,0.015957711875611794,0.42103984077698875,62.744124733180314,0.24702411312275716,4.652126971164124,0.01831546051639419,0.8443349777861505,0.003324153455850986,0.10449085240187196,0.01091833823566979,13.029442650586716,43.683121445889626,55.45236045232641,8077795,18578830,Republican
482012,Texas,48,2012,0.5009089804911006,2.624320076279866,0.015878674514188732,0.4533843970917752,54.363557581728394,0.2140297542587732,4.328288106611815,0.01704050435673943,0.8627778162949447,0.0033967630562793095,0.08906154644474451,0.007931959055129384,13.029442650586716,41.383358283760856,57.16697746805639,7993851,18578830,Republican
482016,Texas,48,2016,0.4287172275954273,2.566621771473704,0.015496801958735085,0.4647718321840067,47.36125993609991,0.18646165329173195,4.004380978002848,0.015765279440956095,0.7905860633992714,0.003112543556690045,0.07533110743416606,0.005674775747257868,13.029442650586716,43.23525798101196,52.234685579335384,8969226,18578830,Republican
482020,Texas,48,2020,0.35368832668250205,2.5157338341113924,0.015293589565046138,0.4538963317687722,45.77208143465711,0.1802050450183351,3.681844504282694,0.014495450804262575,0.6599007668019846,0.0025980345149684433,0.19161073901063447,0.03671467530420148,13.029442650586716,46.47900991387051,52.05760360355265,11315056,18578830,Republican
162000,Idaho,16,2000,0.23607961703199798,0.5235326814483432,0.0029460974581437347,0.10667555563680657,10.205204042309942,0.23193645550704414,1.6165976461492022,0.03674085559430005,0.4702694702844684,0.010687942506465192,0.23176359918000852,0.05371436590487165,0.5089194323744131,27.637798258047408,67.16963603995846,501621,1255405,Republican
162004,Idaho,16,2004,0.2952887837571457,0.7175994338683135,0.004886689968523284,0.17246181721862922,11.070636508782094,0.25160537519959303,1.8024813209647779,0.04096548456738131,0.5886878037347638,0.013379268266699178,0.1569871754636093,0.024644973260042054,0.5089194323744131,30.264917042127358,68.39094482399027,598376,1255405,Republican
162008,Idaho,16,2008,0.3285876454450856,0.7821989858272703,0.006132702061801266,0.21352271986980453,13.013519456502483,0.2957618058296019,2.0927291509145887,0.047562026157149745,0.6552855271106437,0.014892852888878266,0.16309460308414386,0.02659984955517443,0.5089194323744131,36.09594645757765,61.52554379022705,655032,1255405,Republican
162012,Idaho,16,2012,0.293898371591132,0.7008683484847875,0.004984307935041214,0.1746503041844397,11.625041486187213,0.2642054883224367,1.900529700448318,0.04319385682837086,0.5859069794027365,0.013316067713698558,0.23031234310436133,0.05304377538622105,0.5089194323744131,32.62233355920978,64.52978349589283,652274,1255405,Republican
162016,Idaho,16,2016,0.299142111152555,0.8027136870463396,0.005409872353088521,0.20184489673253425,8.982468175850295,0.2041470039965976,1.5198595469813587,0.034542262431394515,0.5963944585255825,0.013554419511945056,0.1668884704296084,0.027851761562334272,0.5089194323744131,27.484926126068714,59.24615422495738,690433,1255405,Republican
162020,Idaho,16,2020,0.33557829784031906,0.9390663572741426,0.007213954384184155,0.2631277701549235,10.461136852447247,0.23775311028289198,1.7598163167545826,0.03999582538078597,0.6692668319011106,0.015210609815934332,0.15628331146015098,0.02442447344095056,0.5089194323744131,33.091296472864244,63.88562547774226,867361,1255405,Republican
312000,Nebraska,31,2000,0.22555879494655007,0.6573511673592243,0.002983017132189197,0.0881192224594141,22.264484929324517,0.2394030637561776,2.4222844899551035,0.02604606978446348,0.44161345407829905,0.004748531764282786,0.401848827315506,0.16148248001484733,4.090275376299073,33.25303901328371,62.245362034607375,697019,1373575,Republican
312004,Nebraska,31,2004,0.25387515710096353,0.7047736642006014,0.0034823061506056557,0.11142261217105583,21.229379969640203,0.228272902899357,2.318551004950305,0.02493065596720758,0.5055597336980936,0.005436126168796705,0.4311018905344539,0.18584884002238028,4.090275376299073,32.682160820163816,65.89864119889074,778186,1373575,Republican
312008,Nebraska,31,2008,0.2634054562558796,0.6775671376719701,0.00379268815903104,0.11486926646040005,26.24504210750564,0.28220475384414667,2.848187517137898,0.030625672227289225,0.5246203320079257,0.0056410788387949,0.46349687363488523,0.21482935186931276,4.090275376299073,41.5982657769247,56.53185336979162,801281,1373575,Republican
312012,Nebraska,31,2012,0.281489841986456,0.7300744598023331,0.004237496855854567,0.13300527160224906,22.842723239500536,0.24562067999462942,2.521390900685886,0.027111730114902,0.5607891034690785,0.0060299903598825646,0.46803746515881983,0.21905906879229348,4.090275376299073,38.02731441792898,59.80319217904804,794379,1373575,Republican
312016,Nebraska,31,2016,0.23665220664384673,0.725602843299609,0.003413253013063071,0.10910243450611384,15.737576426470838,0.1692212518975359,1.7979077165191348,0.01933234103784016,0.4379435191130247,0.004709070097989513,0.5936492630524545,0.3524194475227223,4.090275376299073,33.69875637713554,58.74735112712576,844227,1373575,Republican
