1.262940617198129295e-04,1.223005962511121956e-04,3.946434178810504238e-04,2.149346722053511278e-04,6.639758916311339141e-05,1.318657161502505911e-04,3.006048419891280344e-05,5.711202223741287075e-05,3.585027680035901901e-03,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05,2.860353084811257567e-05
1.256568743997127423e-04,1.214891318510119490e-04,3.691029674220494832e-04,2.240791168390501202e-04,6.273128043801335328e-05,1.443019273671496518e-04,2.085008025381281357e-05,5.979255554231251683e-05,3.570985424191500980e-03,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05,1.891983022301252311e-05
1.300365592527115096e-04,1.255470676560132475e-04,2.929823464184479719e-04,1.705348639876489662e-04,6.151862389801445808e-05,1.232562113633486173e-04,9.401956381813384562e-06,7.029739152031231318e-05,3.515373773696001819e-03,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06,6.597909543012338267e-06
1.342542548117128733e-04,1.297011778150119522e-04,3.101393405695523973e-04,1.855026910555508505e-04,6.463113743201371144e-05,1.350727464856510949e-04,1.049169381581301438e-05,7.572556520431284746e-05,3.530542070513501950e-03,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06,7.514963577012568652e-06
1.442429353340127349e-04,1.396643424741117966e-04,4.015640573360009435e-04,2.606898005657996712e-04,7.417632505561357276e-05,1.868859247163002200e-04,1.922517186061290897e-05,8.619999236411234490e-05,3.607216114979851056e-03,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05,1.617914637461245194e-05
1.129968487705985643e-04,1.111547474184985251e-04,2.192297458955111118e-04,1.124918049712116130e-04,6.753450819245249636e-05,8.782693637391144204e-05,5.424262123251314489e-06,5.603416582314940035e-05,3.455892136566315019e-03,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06,1.767068402449951452e-06
1.128136332452014256e-04,1.110179810371013251e-04,2.190756784541156407e-04,1.127894818018138930e-04,6.981327359645146083e-05,8.877489618051426625e-05,5.517372062450621932e-06,5.744489263375008600e-05,3.456148445580915080e-03,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06,1.673590010450043140e-06
6.632199712113939077e-06,6.469386981263876541e-06,1.139188954989032234e-04,2.351298893210142214e-05,4.022441663813594478e-06,2.235797881980196105e-05,2.018837010413264249e-06,7.295750474662279191e-06,3.365417738548452317e-03,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09,1.670709012501263941e-09
4.330670941384992480e-05,4.262545880164987622e-05,1.502680715214123330e-04,5.482006249331275747e-05,3.087596219479991542e-05,4.640697829561219248e-05,4.598497696999693911e-06,2.617961827199987573e-05,3.397186535212315828e-03,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07,1.924108577999981331e-07
1.453041681268139472e-04,1.434355566630638953e-04,2.515204294454512907e-04,1.445246626484516410e-04,9.318215083251610385e-05,1.194886553645506920e-04,7.491776007514643556e-06,8.743176789176327496e-05,3.487948604267904641e-03,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06,1.821558301512530205e-06
